Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,MaFI
ambush,0.9921428571428571,0.2,2.0,0.4,3.7,-0.9921428571428571
american,1.0506392045454545,0.1,4.9,0.6125,4.8,-1.0506392045454545
amount,0.5953869047619047,0.3,4.4,0.7333333333333333,2.0,-0.5953869047619047
amputee,1.0949404761904762,0.1,3.2,0.45714285714285713,5.0,-1.0949404761904762
analyse,0.8913352272727273,0.36363636363636365,4.636363636363637,0.6623376623376623,3.1818181818181817,-0.8913352272727273
ancestral,1.1008487654320986,0.1111111111111111,5.555555555555555,0.6172839506172839,5.111111111111111,-1.1008487654320986
anchor,1.5359375,0.0,2.2,0.44000000000000006,3.7,-1.5359375
anecdote,1.3259375,0.0,4.1,0.5125,6.9,-1.3259375
angel,1.6142345610119047,0.0625,2.28125,0.28515625,6.34375,-1.6142345610119047
angry,0.49083994708994716,0.6666666666666666,3.888888888888889,0.7777777777777778,1.5555555555555556,-0.49083994708994716
anime,1.3408482142857145,0.25,2.3333333333333335,0.4666666666666666,4.166666666666667,-1.3408482142857145
annexation,1.138125,0.0,5.0,0.5,7.1,-1.138125
anode,1.2972916666666667,0.0,1.5,0.3,3.9,-1.2972916666666667
anorak,1.2650974025974024,0.18181818181818182,3.3636363636363638,0.5606060606060607,4.363636363636363,-1.2650974025974024
another,0.29,0.7,5.2,0.8666666666666666,0.8,-0.29
answer,1.403720238095238,0.1,1.9,0.38,4.3,-1.403720238095238
ant,1.3550037202380953,0.0,1.15,0.3833333333333333,3.8,-1.3550037202380953
anxiously,1.226736111111111,0.2,3.9,0.4875,4.9,-1.226736111111111
any,1.1793749999999998,0.2,1.4,0.4666666666666667,3.0,-1.1793749999999998
anyone,1.0767857142857142,0.3,3.3,0.55,3.5,-1.0767857142857142
anything,0.24151785714285712,0.8,5.4,0.9,1.1,-0.24151785714285712
anytime,1.1988636363636365,0.2727272727272727,2.8181818181818183,0.40259740259740256,4.7272727272727275,-1.1988636363636365
anyway,0.7286458333333334,0.6,4.1,0.6833333333333333,2.2,-0.7286458333333334
anywhere,0.571875,0.5,4.5,0.75,1.8,-0.571875
apparel,1.0276537698412698,0.0,3.1666666666666665,0.5277777777777778,3.8333333333333335,-1.0276537698412698
apparently,0.5157828282828283,0.6363636363636364,7.363636363636363,0.8181818181818182,2.5454545454545454,-0.5157828282828283
appear,1.0502232142857142,0.2,2.1,0.525,3.4,-1.0502232142857142
apple,0.38898026315789475,0.7368421052631579,3.3684210526315788,0.8421052631578947,0.9473684210526315,-0.38898026315789475
apply,0.5706249999999999,0.5,4.0,0.8,2.0,-0.5706249999999999
approach,0.2748511904761905,0.7,7.0,0.875,1.2,-0.2748511904761905
approximately,1.4158854166666666,0.0,5.45,0.4541666666666667,9.4,-1.4158854166666666
apron,1.3351562499999998,0.05,2.55,0.425,4.6,-1.3351562499999998
