Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,MaFI
bull,0.6702380952380952,0.09523809523809523,1.619047619047619,0.5396825396825397,2.0952380952380953,-0.6702380952380952
bullets,1.1453125,0.05,1.85,0.30833333333333335,4.55,-1.1453125
bus,0.9024801587301587,0.047619047619047616,1.4285714285714286,0.47619047619047616,3.0,-0.9024801587301587
butter,1.17109375,0.15,2.65,0.53,3.1,-1.17109375
butterfly,0.4206414473684211,0.6842105263157895,7.157894736842105,0.7953216374269005,2.1052631578947367,-0.4206414473684211
button,1.3355263157894737,0.05263157894736842,1.263157894736842,0.25263157894736843,3.789473684210526,-1.3355263157894737
cabinets,1.362109375,0.0,2.95,0.36875,6.45,-1.362109375
cactus,1.4422902494331065,0.047619047619047616,2.9523809523809526,0.4920634920634921,5.142857142857143,-1.4422902494331065
cage,1.4986058897243109,0.0,1.5263157894736843,0.2543859649122807,5.105263157894737,-1.4986058897243109
cake,1.3958854166666668,0.1,2.0,0.5,3.1,-1.3958854166666668
calculator,1.3517316017316017,0.0,4.714285714285714,0.39285714285714285,8.428571428571429,-1.3517316017316017
calendar,1.336328125,0.05,3.4,0.425,5.6,-1.336328125
called,1.6615625,0.0,0.8,0.2,3.3,-1.6615625
calling,1.3286830357142856,0.05,1.8,0.36,4.15,-1.3286830357142856
came,0.5953125,0.3,2.5,0.625,1.7,-0.5953125
camel,1.3788194444444446,0.0,2.2222222222222223,0.4444444444444444,3.2222222222222223,-1.3788194444444446
camera,1.4180840773809522,0.15,2.8,0.4666666666666666,4.0,-1.4180840773809522
can,1.7841269841269842,0.09523809523809523,1.0476190476190477,0.3492063492063492,2.6666666666666665,-1.7841269841269842
canal,1.6119791666666667,0.0,1.65,0.33,4.05,-1.6119791666666667
candle,1.449248120300752,0.05263157894736842,2.1052631578947367,0.3508771929824562,4.578947368421052,-1.449248120300752
candy,1.4502976190476191,0.047619047619047616,1.9047619047619047,0.38095238095238093,3.9523809523809526,-1.4502976190476191
cane,1.7100694444444444,0.0,0.5555555555555556,0.1388888888888889,3.5555555555555554,-1.7100694444444444
cannon,1.8783730158730156,0.0,1.1111111111111112,0.2222222222222222,4.833333333333333,-1.8783730158730156
canoe,1.5529513888888888,0.0,1.1111111111111112,0.2777777777777778,3.1666666666666665,-1.5529513888888888
cap,1.3365624999999999,0.0,1.85,0.6166666666666666,2.85,-1.3365624999999999
captain,1.1476757369614514,0.09523809523809523,3.1904761904761907,0.5317460317460317,4.095238095238095,-1.1476757369614514
car,0.4621710526315789,0.7894736842105263,2.473684210526316,0.8245614035087719,0.631578947368421,-0.4621710526315789
carrot,1.342096560846561,0.0,1.7777777777777777,0.35555555555555557,4.388888888888889,-1.342096560846561
cart,0.7816550925925926,0.05555555555555555,2.4444444444444446,0.6111111111111112,2.5,-0.7816550925925926
cast,1.3783991228070176,0.0,2.263157894736842,0.5657894736842105,3.6315789473684212,-1.3783991228070176
castle,1.5960526315789474,0.0,1.5789473684210527,0.3157894736842105,4.473684210526316,-1.5960526315789474
cat,1.2511458333333334,0.05,1.45,0.4833333333333333,3.05,-1.2511458333333334
caterpillar,1.2561197916666667,0.05,3.9,0.4333333333333333,6.0,-1.2561197916666667
cauliflower,0.710763888888889,0.5,7.35,0.735,3.45,-0.710763888888889
cave,1.242352843915344,0.16666666666666666,1.2222222222222223,0.3055555555555556,3.2777777777777777,-1.242352843915344
ceiling,1.422404970760234,0.05263157894736842,2.1578947368421053,0.431578947368421,4.052631578947368,-1.422404970760234
celery,0.41185887896825396,0.65,5.05,0.8416666666666666,1.6,-0.41185887896825396
chain,1.4366294642857143,0.05,2.2,0.3666666666666667,4.2,-1.4366294642857143
chair,1.0467261904761904,0.2857142857142857,2.7142857142857144,0.5428571428571429,2.761904761904762,-1.0467261904761904
chalk,1.0625,0.1,2.35,0.47000000000000003,3.35,-1.0625
chandelier,1.6315104166666667,0.0,2.8333333333333335,0.3541666666666667,7.277777777777778,-1.6315104166666667
checkers,1.448611111111111,0.0,3.3333333333333335,0.4166666666666667,5.611111111111111,-1.448611111111111
cheerleaders,1.3709635416666666,0.0,4.4,0.39999999999999997,7.75,-1.3709635416666666
cheese,0.47445436507936506,0.6190476190476191,3.6666666666666665,0.7333333333333334,1.6666666666666667,-0.47445436507936506
cherries,0.7308114035087719,0.3684210526315789,4.578947368421052,0.6541353383458647,2.9473684210526314,-0.7308114035087719
chest,1.2142857142857142,0.047619047619047616,3.3333333333333335,0.5555555555555556,3.6666666666666665,-1.2142857142857142
chick,1.360813492063492,0.0,2.380952380952381,0.47619047619047616,3.4761904761904763,-1.360813492063492
children,1.3375,0.1,3.5,0.3888888888888889,6.4,-1.3375
chimney,1.4753459821428572,0.05,2.85,0.40714285714285714,5.45,-1.4753459821428572
chin,0.9169921875,0.1875,3.6875,0.7375,1.8125,-0.9169921875
