Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,MaFI,std_viseme_score_avg,std_phonetic_score_avg,vips_score,phonological_distance_avg,mafi_score_avg,word_error_rate_avg,character_error_rate_avg,word_similarity_avg,meteor_score_avg,rouge1_score_avg,rouge2_score_avg,rougeL_score_avg,sentence_bleu_score_avg,bertscore_precision_avg,bertscore_recall_avg,bertscore_f1_avg,semantic_similarity_avg,semantic_wer_avg
acid,1.43410714285714,0,1.5,0.375,4.4,-1.43410714285714,0.29702380952381,0.536582341269841,0.754111588800552,1.33616071428571,-1.33616071428571,1,1.2,0.308547008547009,0,0,0,0,0,0.917558515071869,0.955902135372162,0.935610032081604,0.241530761122704,0.758469238877296
acorn,1.71866732804233,0,1.27777777777778,0.212962962962963,5.72222222222222,-1.71866732804233,0.109854497354497,0.505197310405644,0.693580473305666,1.80877976190476,-1.80877976190476,1,0.966666666666667,0.372751014417681,0,0,0,0,0,0.874799685345756,0.81844675872061,0.844338628980849,0.241930993894736,0.758069006105264
acoustic,1.24624281968032,0.0909090909090909,4.09090909090909,0.584415584415584,5.45454545454545,-1.24624281968032,0.473235098235098,0.622546435046435,0.770503390827618,1.27534496753247,-1.27534496753247,0.909090909090909,0.704545454545455,0.46684385133583,0.0454545454545455,0.0909090909090909,0,0.0909090909090909,0.0161661764548993,0.879937410354614,0.946320593357086,0.910511098124764,0.288800639185038,0.711199360814962
acquire,1.07083333333333,0,3.85,0.55,3.25,-1.07083333333333,0.4,0.611666666666667,0.768049409199164,1.14666666666667,-1.14666666666667,1,0.742857142857143,0.386704961704962,0,0,0,0,0,0.966217568516731,0.985498979687691,0.975310757756233,0.208987292274833,0.791012707725167
across,0.5875,0.2,3.4,0.68,1.8,-0.5875,0.56,0.729166666666667,0.805579718067672,0.85,-0.85,0.8,0.333333333333333,0.731313131313131,0.1,0.2,0,0.2,0.0355655882007785,0.998814767599106,0.998814767599106,0.998814767599106,0.567270728945732,0.432729271054268
actually,1.27890625,0.15,4.45,0.445,6.45,-1.27890625,0.355357142857143,0.570089285714286,0.706922972982434,1.1921875,-1.1921875,0.85,0.70625,0.393634649664062,0.075,0.15,0,0.15,0.0266741911505838,0.882856062054634,0.93727970123291,0.908302623033524,0.319000118970871,0.680999881029129
acupuncture,1.614375,0.1,4.6,0.353846153846154,10,-1.614375,0.27,0.559166666666667,0.717855318052495,1.596875,-1.596875,0.9,0.718181818181818,0.377378591406051,0.05,0.1,0,0.1,0.0177827941003892,0.926021504402161,0.967830455303192,0.94513475894928,0.254802212491632,0.745197787508369
adaption,0.942065746753247,0.0909090909090909,4.27272727272727,0.61038961038961,5.18181818181818,-0.942065746753247,0.445887445887446,0.743393759018759,0.834001737946433,0.951061958874459,-0.951061958874459,0.909090909090909,0.625,0.499085280045032,0.0454545454545455,0.0909090909090909,0,0.0909090909090909,0.0161661764548993,0.899323799393394,0.770016041668979,0.828820364041762,0.304585169662129,0.695414830337871
adaptive,1.35285714285714,0.1,3.1,0.442857142857143,5.7,-1.35285714285714,0.435357142857143,0.595580357142857,0.748735811949198,1.41662946428571,-1.41662946428571,0.9,0.7375,0.399059714795009,0.05,0.1,0,0.1,0.0177827941003892,0.942351984977722,0.972629261016846,0.956603455543518,0.289007091522217,0.710992908477783
add,1.03375,0,1.2,0.6,2.4,-1.03375,0.473333333333333,0.562222222222222,0.59560403877572,1.03791666666667,-1.03791666666667,1,0.833333333333333,0.416666666666667,0,0,0,0,0,0.982704055309296,0.990993356704712,0.986653190851212,0.243142709136009,0.756857290863991
