Word,Dist,Dist_American,Dist_British,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein
key,1.7208333333333332,1.728009259259259,1.84375,0.0,0.5,0.25,2.4
knee,1.362083333333333,1.3641666666666665,1.3775,0.1,1.25,0.625,2.2
knife,0.7023809523809523,0.6889880952380952,0.6889880952380952,0.047619047619047616,2.380952380952381,0.5952380952380952,1.619047619047619
leather,0.041666666666666664,0.03333333333333333,0.041666666666666664,0.8888888888888888,4.888888888888889,0.9777777777777779,0.1111111111111111
lock,0.6260677083333334,0.6274739583333333,0.4895833333333333,0.15,2.55,0.85,1.45
man,1.214781746031746,1.1851190476190478,1.260168650793651,0.19047619047619047,1.4761904761904763,0.492063492063492,2.142857142857143
money,0.9341666666666667,0.9216666666666666,0.9685416666666666,0.4,1.9,0.475,2.5
moon,1.5278125,1.5165625,1.5723958333333334,0.1,0.8,0.26666666666666666,2.5
mother,0.22531249999999997,0.21937500000000001,0.23156249999999998,0.8,4.4,0.8800000000000001,0.7
motorcycle,0.9380411255411255,0.8814484126984128,0.8964285714285714,0.3333333333333333,6.619047619047619,0.5515873015873016,5.857142857142857
mushroom,0.06666666666666667,0.06666666666666667,0.08333333333333334,0.9,5.8,0.9666666666666666,0.3
nail,1.6765625,1.4954687500000001,1.5223437499999999,0.05,1.8,0.45,3.35
neck,1.346626984126984,1.4488541666666666,1.4489062499999998,0.09523809523809523,0.9047619047619048,0.30158730158730157,3.0952380952380953
net,1.0610119047619047,1.1043154761904763,1.0841269841269843,0.047619047619047616,1.0,0.3333333333333333,2.9523809523809526
nurse,1.9875,1.65625,1.4994791666666667,0.0,0.7,0.175,3.6
office,0.8575066137566137,0.8863839285714286,0.83515625,0.2222222222222222,1.8888888888888888,0.4722222222222222,4.666666666666667
paper,0.7077008928571429,0.5696428571428571,0.5639285714285714,0.5,3.5,0.5833333333333333,3.0
pen,0.9685416666666666,0.8657291666666668,0.9865625,0.2,1.6,0.5333333333333333,2.7
phone,0.1734375,0.1734375,0.1921875,0.8,3.6,0.9,0.5
picture,0.8781423611111112,0.7954141865079365,0.7573958333333333,0.5,5.2,0.65,3.6
pig,1.1413541666666667,0.8341666666666667,0.8160416666666667,0.0,1.2,0.4,2.4
pillow,0.19375,0.18875,0.19375,0.6,4.2,0.8400000000000001,0.8
plant,0.6849999999999999,0.7108928571428572,0.6799999999999999,0.2,3.0,0.6,2.4
push,0.356060606060606,0.20260416666666664,0.22083333333333338,0.6363636363636364,2.3636363636363638,0.7878787878787878,0.8181818181818182
rain,0.559375,0.553125,0.565625,0.5,2.9,0.725,1.1
ring,1.1552083333333334,1.0765625,1.1286458333333331,0.1,1.2,0.4,2.3
road,0.80625,0.6935714285714286,0.6766666666666667,0.2,2.9,0.725,1.8
rock,0.2833333333333334,0.2833333333333334,0.18333333333333332,0.8,2.6,0.8666666666666666,0.4
roof,0.0,0.0,0.0,1.0,3.0,1.0,0.0
scream,0.22839285714285715,0.22839285714285715,0.22839285714285715,0.6,4.6,0.9199999999999999,0.7
shark,1.0176041666666666,1.1225,1.1328125,0.3,2.1,0.525,3.3
square,0.51875,0.57875,0.46375,0.3,3.5,0.7,1.5
stop,0.25625,0.25625,0.25625,0.6,3.2,0.8,0.8
suit,1.1689583333333333,1.169375,1.4456250000000002,0.0,1.1,0.36666666666666664,3.1
table,0.7861607142857143,0.7319940476190476,0.8852083333333335,0.3,3.5,0.5833333333333333,3.0
tape,1.5887499999999999,1.4809027777777777,1.4508101851851851,0.0,0.8,0.2,4.4
tennis,1.2727083333333333,1.1512499999999999,1.07125,0.0,2.1,0.42000000000000004,3.9
ticket,1.5233333333333334,1.4795833333333335,1.3581770833333333,0.1,1.5,0.3,4.7
time,0.76625,0.8391666666666666,0.8180208333333333,0.4,2.6,0.65,2.3
toilet,0.2708333333333333,0.275,0.2416666666666667,0.7,5.1,0.85,1.3
top,0.3869791666666667,0.4839583333333334,0.4416666666666666,0.3,2.7,0.9,1.4
tree,0.3275,0.3225,0.34249999999999997,0.5,2.6,0.8666666666666666,1.1
tunnel,1.5942460317460316,1.3195833333333333,1.4097395833333333,0.0,1.4761904761904763,0.29523809523809524,4.333333333333333
turkey,1.4554166666666666,1.2222916666666666,1.2036458333333333,0.0,2.0,0.4,4.2
wall,0.4989583333333334,0.4383333333333333,0.5760416666666666,0.4,2.4,0.8,1.3
wash,0.15,0.18125,0.18125,0.7,3.0,1.0,0.6
washing,0.6663541666666666,0.6661184210526315,0.5684210526315789,0.35,3.4,0.6799999999999999,2.05
watch,0.25,0.3020833333333333,0.3020833333333333,0.5,4.0,0.8,1.0
well,0.3524305555555555,0.3426388888888888,0.3503472222222222,0.5333333333333333,2.566666666666667,0.8555555555555555,0.9
window,0.15416666666666662,0.15416666666666662,0.15416666666666662,0.8,5.6,0.9333333333333333,0.5
wine,1.0943749999999999,1.0429166666666667,1.074375,0.0,2.2,0.55,2.7
woman,0.10302083333333334,0.10052083333333335,0.24625,0.8,4.75,0.95,0.35
wrench,1.1803124999999999,1.2060416666666667,1.2060416666666667,0.0,3.0,0.5,3.9
