,Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,Length,Freq_HAL,Log_Freq_HAL,Ortho_N,Phono_N,Age_Of_Acquisition,NPhon,IPA,phonemes,isFront,isRound,lowerLipTuck,protrusion,labialClosure,mouthNarrowing,lipRounding,infoCount_total,infoPercent_total,infoCount_phoneme,infoPercent_phoneme,infoCount_viseme,infoPercent_viseme
29,against,1.3114583333333332,0.1,2.5,0.4166666666666667,5.3,7.0,172615.0,12.059,0.0,0.0,7.969,6.0,əɡɛnst,"['ə', 'ɡ', 'ɛ', 'n', 's', 't']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
30,ago,0.8407242063492064,0.1428571428571428,2.619047619047619,0.6547619047619048,2.0,3.0,116095.0,11.662,5.0,2.0,7.117,3.0,əɡow,"['ə', 'ɡ', 'o', 'w']",False,True,False,True,False,True,True,2,0.5,2,0.5,1,0.25
30,ago,0.8407242063492064,0.1428571428571428,2.619047619047619,0.6547619047619048,2.0,3.0,116095.0,11.662,5.0,2.0,7.117,3.0,əɡow,"['ə', 'ɡ', 'o', 'w']",False,True,False,True,False,True,True,2,0.5,2,0.5,1,0.25
31,air,0.990625,0.2,1.0,0.5,2.1,3.0,81115.0,11.304,7.0,20.0,3.94,2.0,ɛɹ,"['ɛ', 'ɹ']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
32,airflow,0.7763392857142857,0.5,4.0,0.6666666666666667,2.7,7.0,417.0,6.033,0.0,0.0,12.42,5.0,ɛɹflow,"['ɛ', 'ɹ', 'f', 'l', 'o', 'w']",True,True,True,True,False,True,True,3,0.5,3,0.5,2,0.3333333333333333
33,airplane,1.2049107142857145,0.25,3.35,0.4785714285714285,4.5,8.0,4709.0,8.457,0.0,0.0,3.94,6.0,ɛɹplejn,"['ɛ', 'ɹ', 'p', 'l', 'e', 'j', 'n']",True,False,False,False,True,False,True,2,0.2857142857142857,1,0.14285714285714285,2,0.2857142857142857
34,airport,0.9308449074074076,0.2777777777777778,3.6666666666666665,0.6111111111111112,3.4444444444444446,7.0,11859.0,9.381,0.0,0.0,6.84,6.0,ɛɹpɔɹt,"['ɛ', 'ɹ', 'p', 'ɔ', 'ɹ', 't']",True,True,False,False,True,False,False,2,0.3333333333333333,2,0.3333333333333333,1,0.16666666666666666
35,airtight,1.4694940476190477,0.0,2.2,0.3666666666666666,5.5,8.0,366.0,5.903,0.0,0.0,9.84,5.0,ɛɹtajt,"['ɛ', 'ɹ', 't', 'a', 'j', 't']",False,False,False,False,False,False,True,1,0.16666666666666666,0,0.0,1,0.16666666666666666
36,alcohol,1.6153769841269838,0.0,3.7,0.5285714285714286,6.0,7.0,14209.0,9.562,0.0,0.0,9,7.0,ælkəhɑl,"['æ', 'l', 'k', 'ə', 'h', 'ɑ', 'l']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
37,algebra,1.5064484126984128,0.1,2.7,0.3,7.2,7.0,2526.0,7.834,0.0,0.0,11.47,7.0,æld͡ʒəbɹə,"['æ', 'l', 'd͡ʒ', 'ə', 'b', 'ɹ', 'ə']",True,False,False,True,True,False,False,2,0.2857142857142857,1,0.14285714285714285,2,0.2857142857142857
38,alien,1.4457093253968254,0.1,2.1,0.35,4.7,5.0,21215.0,9.962,3.0,1.0,7.5,5.0,ejliən,"['e', 'j', 'l', 'i', 'ə', 'n']",False,False,False,False,False,False,True,1,0.16666666666666666,0,0.0,1,0.16666666666666666
39,alive,0.2183928571428571,0.8,4.4,0.8800000000000001,0.8,5.0,19998.0,9.903,4.0,4.0,5.11,4.0,əlajv,"['ə', 'l', 'a', 'j', 'v']",True,False,True,False,False,False,True,2,0.4,1,0.2,2,0.4
40,all,0.9429166666666668,0.1,1.5,0.75,1.8,3.0,1699638.0,14.346,9.0,26.0,4.24,2.0,ɔl,"['ɔ', 'l']",False,True,False,False,False,False,False,1,0.5,1,0.5,0,0.0
41,alligator,1.1487351190476192,0.1904761904761904,4.190476190476191,0.4656084656084656,5.761904761904762,9.0,723.0,6.583,0.0,0.0,4.78,7.0,æləɡejtɹ̩,"['æ', 'l', 'ə', 'ɡ', 'e', 'j', 't', 'ɹ̩']",False,False,False,False,False,False,True,1,0.125,0,0.0,1,0.125
42,allow,0.303125,0.7,3.6,0.9,0.6,5.0,76957.0,11.251,3.0,6.0,5.32,3.0,əlaw,"['ə', 'l', 'a', 'w']",False,True,False,True,False,True,True,1,0.25,1,0.25,1,0.25
43,alone,0.72,0.0,3.7,0.74,2.0,5.0,51000.0,10.84,4.0,7.0,4.94,4.0,əlown,"['ə', 'l', 'o', 'w', 'n']",False,True,False,True,False,True,True,2,0.4,2,0.4,1,0.2
44,along,1.311875,0.1,1.9,0.475,3.1,5.0,92602.0,11.436,2.0,0.0,5.412,4.0,əlɔŋ,"['ə', 'l', 'ɔ', 'ŋ']",False,True,False,False,False,False,False,1,0.25,1,0.25,0,0.0
45,alpha,0.8549107142857143,0.3333333333333333,2.25,0.5625,3.083333333333333,5.0,36445.0,10.504,0.0,4.0,12.22,4.0,ælfə,"['æ', 'l', 'f', 'ə']",True,False,True,False,False,False,False,1,0.25,1,0.25,1,0.25
46,already,0.9760416666666666,0.2,2.9,0.4833333333333333,3.3,7.0,146289.0,11.893,0.0,0.0,#,6.0,ɔlɹɛdi,"['ɔ', 'l', 'ɹ', 'ɛ', 'd', 'i']",False,True,False,False,False,False,False,1,0.16666666666666666,1,0.16666666666666666,0,0.0
47,alright,0.4109375,0.6,4.9,0.8166666666666667,1.5,7.0,6035.0,8.705,0.0,0.0,6.275,5.0,ɔlɹajt,"['ɔ', 'l', 'ɹ', 'a', 'j', 't']",False,True,False,False,False,False,True,2,0.3333333333333333,1,0.16666666666666666,1,0.16666666666666666
48,also,1.185,0.2,2.9,0.58,3.5,4.0,782967.0,13.571,2.0,2.0,6.637,4.0,ɔlsow,"['ɔ', 'l', 's', 'o', 'w']",False,True,False,True,False,True,True,3,0.6,3,0.6,1,0.2
49,alter,1.4125496031746032,0.0,1.8333333333333333,0.3666666666666667,4.916666666666667,5.0,7920.0,8.977,6.0,1.0,9.47,4.0,ɔltɹ̩,"['ɔ', 'l', 't', 'ɹ̩']",False,True,False,False,False,False,False,1,0.25,1,0.25,0,0.0
50,always,0.5421875,0.4,3.85,0.6416666666666667,2.3,6.0,200870.0,12.21,1.0,0.0,6.264,5.0,ɔlwejz,"['ɔ', 'l', 'w', 'e', 'j', 'z']",False,True,False,True,False,True,True,3,0.5,2,0.3333333333333333,2,0.3333333333333333
50,always,0.5421875,0.4,3.85,0.6416666666666667,2.3,6.0,200870.0,12.21,1.0,0.0,6.264,5.0,ɔlwejz,"['ɔ', 'l', 'w', 'e', 'j', 'z']",False,True,False,True,False,True,True,3,0.5,2,0.3333333333333333,2,0.3333333333333333
51,amateur,0.9775,0.2,3.7,0.6166666666666667,4.1,7.0,12735.0,9.452,0.0,1.0,10.53,5.0,æmətɹ̩,"['æ', 'm', 'ə', 't', 'ɹ̩']",True,False,False,False,True,False,False,1,0.2,1,0.2,1,0.2
52,ambulance,1.0461805555555554,0.25,4.8,0.5333333333333333,5.55,9.0,1400.0,7.244,0.0,1.0,6.16,9.0,æmbjələns,"['æ', 'm', 'b', 'j', 'ə', 'l', 'ə', 'n', 's']",True,False,False,False,True,False,True,3,0.3333333333333333,2,0.2222222222222222,3,0.3333333333333333
53,ambush,0.9921428571428572,0.2,2.0,0.4,3.7,6.0,1823.0,7.508,0.0,0.0,9.3,5.0,æmbʊʃ,"['æ', 'm', 'b', 'ʊ', 'ʃ']",True,False,False,True,True,False,False,3,0.6,2,0.4,3,0.6
54,american,1.0506392045454545,0.1,4.9,0.6125,4.8,,,,,,,,əmɛɹəkən,"['ə', 'm', 'ɛ', 'ɹ', 'ə', 'k', 'ə', 'n']",True,False,False,False,True,False,False,1,0.125,1,0.125,1,0.125
55,amount,0.5953869047619047,0.3,4.4,0.7333333333333333,2.0,6.0,61858.0,11.033,0.0,1.0,6.63,5.0,əmawnt,"['ə', 'm', 'a', 'w', 'n', 't']",True,True,False,True,True,True,True,2,0.3333333333333333,2,0.3333333333333333,2,0.3333333333333333
56,amputee,1.0949404761904762,0.1,3.2,0.4571428571428571,5.0,7.0,196.0,5.278,0.0,0.0,11,7.0,æmpjəti,"['æ', 'm', 'p', 'j', 'ə', 't', 'i']",True,False,False,False,True,False,True,3,0.42857142857142855,2,0.2857142857142857,3,0.42857142857142855
57,analyse,0.8913352272727273,0.3636363636363636,4.636363636363637,0.6623376623376623,3.1818181818181817,7.0,927.0,6.832,2.0,0.0,#,5.0,ænælajs,"['æ', 'n', 'æ', 'l', 'a', 'j', 's']",False,False,False,False,False,False,True,1,0.14285714285714285,0,0.0,1,0.14285714285714285
58,ancestral,1.1008487654320986,0.1111111111111111,5.555555555555555,0.6172839506172839,5.111111111111111,9.0,4085.0,8.315,0.0,0.0,11.21,9.0,ænsɛstɹəl,"['æ', 'n', 's', 'ɛ', 's', 't', 'ɹ', 'ə', 'l']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
59,anchor,1.5359375,0.0,2.2,0.44,3.7,6.0,2766.0,7.925,0.0,2.0,5.72,4.0,æŋkɹ̩,"['æ', 'ŋ', 'k', 'ɹ̩']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
60,anecdote,1.3259375,0.0,4.1,0.5125,6.9,8.0,850.0,6.745,0.0,0.0,14.33,7.0,ænəkdowt,"['æ', 'n', 'ə', 'k', 'd', 'o', 'w', 't']",False,True,False,True,False,True,True,2,0.25,2,0.25,1,0.125
61,angel,1.6142345610119049,0.0625,2.28125,0.28515625,6.34375,5.0,18184.0,9.808,2.0,0.0,4,5.0,ejnd͡ʒəl,"['e', 'j', 'n', 'd͡ʒ', 'ə', 'l']",False,False,False,True,False,False,True,2,0.3333333333333333,0,0.0,2,0.3333333333333333
61,angel,1.6142345610119049,0.0625,2.28125,0.28515625,6.34375,5.0,18184.0,9.808,2.0,0.0,4,5.0,ejnd͡ʒəl,"['e', 'j', 'n', 'd͡ʒ', 'ə', 'l']",False,False,False,True,False,False,True,2,0.3333333333333333,0,0.0,2,0.3333333333333333
62,angry,0.4908399470899471,0.6666666666666666,3.888888888888889,0.7777777777777778,1.5555555555555556,5.0,13441.0,9.506,0.0,0.0,4.45,5.0,æŋɡɹi,"['æ', 'ŋ', 'ɡ', 'ɹ', 'i']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
63,anime,1.3408482142857143,0.25,2.333333333333333,0.4666666666666666,4.166666666666667,,,,,,,,ænajm,"['æ', 'n', 'a', 'j', 'm']",True,False,False,False,True,False,True,2,0.4,1,0.2,2,0.4
64,annexation,1.138125,0.0,5.0,0.5,7.1,10.0,429.0,6.061,0.0,0.0,13.85,8.0,ænɛksejʃən,"['æ', 'n', 'ɛ', 'k', 's', 'e', 'j', 'ʃ', 'ə', 'n']",False,False,False,True,False,False,True,2,0.2,0,0.0,2,0.2
65,anode,1.2972916666666667,0.0,1.5,0.3,3.9,5.0,241.0,5.485,1.0,2.0,15,4.0,ænowd,"['æ', 'n', 'o', 'w', 'd']",False,True,False,True,False,True,True,2,0.4,2,0.4,1,0.2
66,anorak,1.2650974025974024,0.1818181818181818,3.363636363636364,0.5606060606060607,4.363636363636363,6.0,88.0,4.477,0.0,0.0,#,6.0,ænɹ̩æk,"['æ', 'n', 'ɹ̩', 'æ', 'k']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
67,another,0.29,0.7,5.2,0.8666666666666666,0.8,7.0,286263.0,12.565,0.0,0.0,5.049,5.0,ənʌðɹ̩,"['ə', 'n', 'ʌ', 'ð', 'ɹ̩']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
68,answer,1.403720238095238,0.1,1.9,0.38,4.3,6.0,109246.0,11.601,0.0,2.0,5.43,4.0,ænsɹ̩,"['æ', 'n', 's', 'ɹ̩']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
69,ant,1.3550037202380951,0.0,1.15,0.3833333333333333,3.8,3.0,2773.0,7.928,11.0,11.0,4.32,3.0,ænt,"['æ', 'n', 't']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
70,anxiously,1.226736111111111,0.2,3.9,0.4875,4.9,9.0,751.0,6.621,0.0,0.0,#,8.0,æŋkʃəsli,"['æ', 'ŋ', 'k', 'ʃ', 'ə', 's', 'l', 'i']",False,False,False,True,False,False,False,1,0.125,0,0.0,1,0.125
71,any,1.1793749999999998,0.2,1.4,0.4666666666666667,3.0,3.0,1138564.0,13.945,6.0,12.0,5.998,3.0,ɛni,"['ɛ', 'n', 'i']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
72,anyone,1.0767857142857142,0.3,3.3,0.55,3.5,6.0,398422.0,12.895,1.0,0.0,5.359,6.0,ɛniwʌn,"['ɛ', 'n', 'i', 'w', 'ʌ', 'n']",False,True,False,True,False,True,True,1,0.16666666666666666,1,0.16666666666666666,1,0.16666666666666666
73,anything,0.2415178571428571,0.8,5.4,0.9,1.1,8.0,214704.0,12.277,0.0,0.0,6.115,6.0,ɛniθɪŋ,"['ɛ', 'n', 'i', 'θ', 'ɪ', 'ŋ']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
74,anytime,1.1988636363636365,0.2727272727272727,2.8181818181818183,0.4025974025974025,4.727272727272728,,,,,,,,ɛnitajm,"['ɛ', 'n', 'i', 't', 'a', 'j', 'm']",True,False,False,False,True,False,True,2,0.2857142857142857,1,0.14285714285714285,2,0.2857142857142857
75,anyway,0.7286458333333334,0.6,4.1,0.6833333333333333,2.2,6.0,96987.0,11.482,0.0,0.0,6.307,5.0,ɛniwej,"['ɛ', 'n', 'i', 'w', 'e', 'j']",False,True,False,True,False,True,True,2,0.3333333333333333,1,0.16666666666666666,2,0.3333333333333333
76,anywhere,0.571875,0.5,4.5,0.75,1.8,8.0,34991.0,10.463,0.0,0.0,#,7.0,ɛniwɛɹ,"['ɛ', 'n', 'i', 'w', 'ɛ', 'ɹ']",False,True,False,True,False,True,True,1,0.16666666666666666,1,0.16666666666666666,1,0.16666666666666666
77,apparel,1.0276537698412698,0.0,3.1666666666666665,0.5277777777777778,3.8333333333333335,7.0,578.0,6.36,0.0,0.0,10.8,6.0,əpæɹəl,"['ə', 'p', 'æ', 'ɹ', 'ə', 'l']",True,False,False,False,True,False,False,1,0.16666666666666666,1,0.16666666666666666,1,0.16666666666666666
78,apparently,0.5157828282828283,0.6363636363636364,7.363636363636363,0.8181818181818182,2.5454545454545454,10.0,41745.0,10.639,0.0,0.0,#,9.0,əpɛɹəntli,"['ə', 'p', 'ɛ', 'ɹ', 'ə', 'n', 't', 'l', 'i']",True,False,False,False,True,False,False,1,0.1111111111111111,1,0.1111111111111111,1,0.1111111111111111
79,appear,1.0502232142857142,0.2,2.1,0.525,3.4,6.0,46487.0,10.747,1.0,2.0,6.67,4.0,əpɪɹ,"['ə', 'p', 'ɪ', 'ɹ']",True,False,False,False,True,False,False,1,0.25,1,0.25,1,0.25
80,apple,0.3889802631578947,0.7368421052631579,3.3684210526315788,0.8421052631578947,0.9473684210526316,5.0,65844.0,11.095,2.0,4.0,4.15,3.0,æpəl,"['æ', 'p', 'ə', 'l']",True,False,False,False,True,False,False,1,0.25,1,0.25,1,0.25
81,apply,0.5706249999999999,0.5,4.0,0.8,2.0,5.0,45131.0,10.717,3.0,0.0,9.21,4.0,əplaj,"['ə', 'p', 'l', 'a', 'j']",True,False,False,False,True,False,True,2,0.4,1,0.2,2,0.4
82,approach,0.2748511904761905,0.7,7.0,0.875,1.2,8.0,34189.0,10.44,0.0,0.0,8.5,5.0,əpɹowt͡ʃ,"['ə', 'p', 'ɹ', 'o', 'w', 't͡ʃ']",True,True,False,True,True,True,True,4,0.6666666666666666,3,0.5,3,0.5
83,approximately,1.4158854166666666,0.0,5.45,0.4541666666666667,9.4,13.0,16142.0,9.689,0.0,0.0,#,12.0,əpɹɑksəmətli,"['ə', 'p', 'ɹ', 'ɑ', 'k', 's', 'ə', 'm', 'ə', 't', 'l', 'i']",True,False,False,False,True,False,False,2,0.16666666666666666,2,0.16666666666666666,2,0.16666666666666666
83,approximately,1.4158854166666666,0.0,5.45,0.4541666666666667,9.4,13.0,16142.0,9.689,0.0,0.0,#,12.0,əpɹɑksəmətli,"['ə', 'p', 'ɹ', 'ɑ', 'k', 's', 'ə', 'm', 'ə', 't', 'l', 'i']",True,False,False,False,True,False,False,2,0.16666666666666666,2,0.16666666666666666,2,0.16666666666666666
84,apron,1.3351562499999998,0.05,2.55,0.425,4.6,5.0,540.0,6.292,2.0,1.0,6.75,5.0,ejpɹən,"['e', 'j', 'p', 'ɹ', 'ə', 'n']",True,False,False,False,True,False,True,2,0.3333333333333333,1,0.16666666666666666,2,0.3333333333333333
85,arab,1.0545684523809524,0.1,2.0,0.5,4.5,,,,,,,,æɹəb,"['æ', 'ɹ', 'ə', 'b']",True,False,False,False,True,False,False,1,0.25,1,0.25,1,0.25
86,area,1.070684523809524,0.3,2.3,0.575,3.9,4.0,160430.0,11.986,3.0,5.0,6.58,4.0,ɛɹiə,"['ɛ', 'ɹ', 'i', 'ə']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
87,arm,1.0657894736842106,0.2105263157894736,1.6842105263157894,0.5614035087719298,1.894736842105263,3.0,20427.0,9.925,7.0,5.0,3.26,3.0,ɑɹm,"['ɑ', 'ɹ', 'm']",True,False,False,False,True,False,False,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333
88,aroma,1.122113095238095,0.1,3.6,0.6,3.8,5.0,801.0,6.686,0.0,0.0,9.47,5.0,ɹ̩owmə,"['ɹ̩', 'o', 'w', 'm', 'ə']",True,True,False,True,True,True,True,3,0.6,3,0.6,2,0.4
89,around,0.4175,0.6,5.1,0.85,1.1,6.0,268131.0,12.499,3.0,7.0,5.945,5.0,ɹ̩awnd,"['ɹ̩', 'a', 'w', 'n', 'd']",False,True,False,True,False,True,True,1,0.2,1,0.2,1,0.2
90,arrange,0.7825,0.3,5.6,0.7,2.9,7.0,6050.0,8.708,0.0,3.0,8.28,5.0,ɹ̩ejnd͡ʒ,"['ɹ̩', 'e', 'j', 'n', 'd͡ʒ']",False,False,False,True,False,False,True,2,0.4,0,0.0,2,0.4
