Word,Dist,Dist_British,Dist_American,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein
money,1.1479166666666667,1.0990679824561405,1.0742872807017543,0.2,1.8,0.45,3.0
moon,1.482523148148148,1.5019675925925924,1.4495949074074073,0.05555555555555555,1.3888888888888888,0.4629629629629629,2.2222222222222223
mother,0.43083333333333335,0.42458333333333337,0.40354166666666663,0.6,4.1,0.82,1.2
motorcycle,1.6166614057239057,1.545864898989899,1.391047898860399,0.0,5.111111111111111,0.42592592592592593,9.833333333333334
mushroom,1.2204861111111112,1.1962159863945578,1.2256235827664401,0.3333333333333333,2.9047619047619047,0.4841269841269841,4.095238095238095
nail,1.4856907894736842,1.3489583333333333,1.3972222222222221,0.05263157894736842,1.0526315789473684,0.2631578947368421,3.789473684210526
neck,1.8264254385964913,1.9447337962962965,1.921585648148148,0.0,0.6842105263157895,0.22807017543859648,3.1578947368421053
net,1.5510487528344672,1.5996598639455781,1.5469316893424034,0.0,0.5714285714285714,0.19047619047619047,4.0
nurse,1.5303125,1.4173437500000001,1.2370312499999998,0.05,1.85,0.4625,3.35
office,0.25,0.2125,0.25,0.8,3.6,0.9,0.5
paper,0.44236111111111115,0.4520833333333333,0.35127314814814814,0.7222222222222222,4.888888888888889,0.8148148148148148,1.2777777777777777
pen,1.4570023148148148,1.4613425925925927,1.4381944444444443,0.05555555555555555,0.3888888888888889,0.12962962962962962,3.2222222222222223
phone,0.1213235294117647,0.1213235294117647,0.1213235294117647,0.8235294117647058,3.7058823529411766,0.9264705882352942,0.29411764705882354
picture,0.8145833333333333,0.8443014705882353,0.7419117647058824,0.35294117647058826,4.882352941176471,0.6102941176470589,3.235294117647059
pig,1.2477678571428572,1.0069444444444444,0.9315476190476191,0.047619047619047616,0.7619047619047619,0.25396825396825395,2.761904761904762
pillow,0.3506944444444444,0.3284722222222222,0.3423611111111111,0.6666666666666666,4.055555555555555,0.8111111111111111,1.0
plant,1.1578221450617283,1.3180459104938271,1.1613770392416225,0.05555555555555555,1.9444444444444444,0.3888888888888889,3.9444444444444446
push,0.48864583333333333,0.5061011904761904,0.5660565476190476,0.5,2.1,0.7,2.2
rain,1.4523284313725489,1.5709558823529413,1.5160539215686275,0.0,1.6470588235294117,0.4117647058823529,3.2941176470588234
ring,1.7770419973544973,1.9000000000000001,1.7804398148148148,0.0,0.5555555555555556,0.18518518518518517,4.777777777777778
road,0.7999451754385966,0.887390350877193,0.869298245614035,0.3157894736842105,2.6315789473684212,0.6578947368421053,2.526315789473684
rock,1.5785879629629629,1.6365162037037038,1.6965277777777779,0.16666666666666666,1.6111111111111112,0.537037037037037,3.5
roof,1.0464442355889725,1.2183114035087719,1.2367559523809526,0.05263157894736842,1.9473684210526316,0.6491228070175438,2.8947368421052633
scream,1.084375,1.5393750000000002,1.465833333333333,0.0,1.9,0.38,4.1
shark,1.324345238095238,1.5174999999999998,1.1955952380952382,0.05,2.1,0.525,3.65
square,0.788984375,0.784360119047619,0.8241927083333334,0.15,3.1,0.62,2.4
stop,0.6430580357142857,0.6716517857142857,0.7462500000000001,0.3,2.95,0.7375,2.15
suit,1.2279315476190475,1.4046875,1.186108630952381,0.0,1.75,0.5833333333333333,3.6
table,0.8759300595238095,0.9400558035714287,0.8165178571428571,0.15,2.9,0.4833333333333333,3.85
tape,0.7904687499999999,0.7307812499999999,0.79609375,0.25,2.45,0.6125,2.15
tennis,1.2942294973544974,1.2239417989417989,1.245486111111111,0.0,2.2777777777777777,0.4555555555555555,3.8333333333333335
ticket,1.5732142857142857,1.4333333333333333,1.4886904761904762,0.0,1.380952380952381,0.2761904761904762,4.666666666666667
time,0.6776315789473685,0.6875,0.6776315789473685,0.47368421052631576,2.5789473684210527,0.6447368421052632,1.631578947368421
toilet,1.1511591478696743,1.12593984962406,1.1221021303258145,0.05263157894736842,2.4210526315789473,0.40350877192982454,4.368421052631579
top,0.9520206766917293,1.0073386591478697,1.0757048872180452,0.0,2.0526315789473686,0.6842105263157895,3.3684210526315788
tree,0.7612390350877193,0.8321271929824562,0.7447290100250626,0.47368421052631576,2.3684210526315788,0.7894736842105263,1.9473684210526316
tunnel,1.7931795634920635,1.8280753968253969,1.5323082010582012,0.0,1.1904761904761905,0.23809523809523808,5.238095238095238
turkey,1.2357638888888889,1.2904265873015872,1.0697420634920636,0.14285714285714285,2.4761904761904763,0.49523809523809526,3.2857142857142856
wall,0.34635416666666663,0.3556134259259259,0.3277777777777777,0.7777777777777778,2.6666666666666665,0.8888888888888888,0.4444444444444444
wash,0.3765625,0.4223958333333333,0.4395833333333333,0.4,2.8,0.9333333333333333,1.4
washing,0.5785528273809524,0.5904427083333333,0.6304427083333333,0.5,3.8,0.76,1.8
watch,0.4853801169590643,0.5172697368421053,0.5590460526315789,0.42105263157894735,3.9473684210526314,0.7894736842105263,1.7894736842105263
well,0.7940393518518518,0.8241319444444444,0.8171875,0.3333333333333333,2.0555555555555554,0.6851851851851851,1.5
window,0.3158110119047619,0.31328124999999996,0.31328125,0.65,5.2,0.8666666666666666,1.1
wine,0.991875,0.8417559523809525,0.8614434523809523,0.15,2.2,0.55,2.35
woman,0.28,0.30375,0.28375000000000006,0.8,4.4,0.8800000000000001,0.8
wrench,1.2746788847117796,1.6548219507101087,1.6453764619883042,0.10526315789473684,2.789473684210526,0.46491228070175444,3.9473684210526314
